w Gamma(a,b) + (1-w) InverseGamma(g,d): [a,b,g,d,w] =	[2.285781, 0.555556, 3.38488, 11.85386, 0.6665321]
gene	p_phi_m_neg	q_phi_m_neg	phi_m_neg	p_phi_k_neg	q_phi_k_neg	phi_k_neg	p_phi_neg	q_phi_neg	phi_neg	p_phi_m_pos	q_phi_m_pos	phi_m_pos_or_p(m=0|s)	p_phi_k_pos	q_phi_k_pos	phi_k_pos_or_p(k=0|s)	p_phi_pos	q_phi_pos	phi_pos_or_p(m=0|s)*p(k=0|s)	m_obs	k_obs	s_obs	dm/ds	dk/ds	d(m+k)/ds
ENSG00000001497.18	1.717896e-01	2.666241e-01	1.400534	6.621252e-01	7.887188e-01	0.131554	2.026283e-01	2.982457e-01	1.532089	1.000000e+00	1.000000e+00	0.246465	1.000000e+00	1.000000e+00	0.876732	1.000000e+00	1.000000e+00	0.216084	0	0	0	0.000000	0.000000	0.000000
ENSG00000001561.7	1.422545e-01	2.406742e-01	1.519002	6.621252e-01	7.887188e-01	0.127151	1.645619e-01	2.654551e-01	1.646153	1.000000e+00	1.000000e+00	0.218930	1.000000e+00	1.000000e+00	0.880601	1.000000e+00	1.000000e+00	0.192790	0	0	0	0.000000	0.000000	0.000000
ENSG00000001617.12	2.291578e-01	3.152078e-01	1.237725	3.208534e-01	6.842968e-01	0.255214	2.156885e-01	3.096734e-01	1.492939	7.650109e-01	1.000000e+00	0.196278	1.000000e+00	1.000000e+00	0.774750	8.195686e-01	1.000000e+00	0.196278	3	0	3	0.496199	0.000000	0.475440
ENSG00000001626.18	8.223332e-03	4.894019e-02	3.331698	2.093800e-02	3.639019e-01	0.794534	4.565383e-03	3.312580e-02	4.126233	1.000000e+00	1.000000e+00	0.016030	1.000000e+00	1.000000e+00	0.451792	1.000000e+00	1.000000e+00	0.016030	3	0	6	0.242000	0.000000	0.226492
ENSG00000001629.10	1.687335e-02	7.259166e-02	2.891028	1.234099e-01	5.638614e-01	0.416299	1.461769e-02	6.557342e-02	3.307327	1.000000e+00	1.000000e+00	0.014983	1.000000e+00	1.000000e+00	0.659483	1.000000e+00	1.000000e+00	0.014983	1	0	3	0.137288	0.000000	0.129470
ENSG00000001630.18	3.098431e-01	3.923480e-01	0.926518	7.288369e-01	8.083671e-01	0.115304	3.640576e-01	4.435372e-01	1.041823	7.518202e-01	1.000000e+00	0.200576	1.000000e+00	1.000000e+00	0.891095	8.100194e-01	1.000000e+00	0.200576	1	0	0	0.373243	0.000000	0.357372
ENSG00000001631.17	1.747870e-03	2.017639e-02	4.407583	5.269468e-02	4.640787e-01	0.566071	1.448134e-03	1.677332e-02	4.973654	1.000000e+00	1.000000e+00	0.012185	1.000000e+00	1.000000e+00	0.567752	1.000000e+00	1.000000e+00	0.006918	0	0	3	0.000000	0.000000	0.000000
ENSG00000002016.18	4.806371e-01	5.363353e-01	0.608693	6.539759e-02	4.886869e-01	0.524924	3.335010e-01	4.162341e-01	1.133616	4.823156e-01	1.000000e+00	0.611233	1.000000e+00	1.000000e+00	0.591600	6.035463e-01	1.000000e+00	0.611233	8	0	5	0.916656	0.000000	0.862138
ENSG00000002330.14	1.984719e-01	2.890277e-01	1.324743	8.384684e-01	8.533640e-01	0.070230	2.493200e-01	3.390218e-01	1.394974	1.000000e+00	1.000000e+00	0.265871	1.000000e+00	1.000000e+00	0.932179	1.000000e+00	1.000000e+00	0.247840	0	0	0	0.000000	0.000000	0.000000
ENSG00000002549.13	7.052601e-06	4.316547e-04	7.947842	5.831678e-02	4.761324e-01	0.541967	1.057890e-05	5.750799e-04	8.489809	1.000000e+00	1.000000e+00	0.000353	1.000000e+00	1.000000e+00	0.581603	1.000000e+00	1.000000e+00	0.000206	0	0	8	0.000000	0.000000	0.000000
ENSG00000002586.20	1.984719e-01	2.890277e-01	1.330400	7.877661e-01	8.289839e-01	0.091830	2.363902e-01	3.275924e-01	1.422230	1.000000e+00	1.000000e+00	0.264372	1.000000e+00	1.000000e+00	0.912260	1.000000e+00	1.000000e+00	0.241176	0	0	0	0.000000	0.000000	0.000000
ENSG00000002726.21	3.613635e-02	1.120780e-01	2.365233	9.929121e-02	5.394125e-01	0.451639	2.973024e-02	1.002895e-01	2.816872	8.827223e-01	1.000000e+00	0.053501	1.000000e+00	1.000000e+00	0.636584	9.048440e-01	1.000000e+00	0.053501	4	0	6	0.361345	0.000000	0.346660
ENSG00000002745.13	2.291578e-01	3.152078e-01	1.223595	5.292624e-01	7.526452e-01	0.170095	2.493200e-01	3.390218e-01	1.393690	8.165313e-01	1.000000e+00	0.124044	1.000000e+00	1.000000e+00	0.843584	8.576856e-01	1.000000e+00	0.124044	1	0	1	0.304861	0.000000	0.289330
ENSG00000002746.15	2.856303e-04	7.002882e-03	5.743774	2.282104e-02	3.730067e-01	0.775327	1.786659e-04	4.367816e-03	6.519101	1.000000e+00	1.000000e+00	0.000553	1.000000e+00	1.000000e+00	0.460553	1.000000e+00	1.000000e+00	0.000553	1	0	7	0.076200	0.000000	0.071715
ENSG00000002822.16	8.467823e-03	4.975138e-02	3.311744	1.372883e-01	5.764956e-01	0.393212	8.235087e-03	4.757895e-02	3.704956	1.000000e+00	1.000000e+00	0.008916	1.000000e+00	1.000000e+00	0.674885	1.000000e+00	1.000000e+00	0.008916	1	0	4	0.125453	0.000000	0.119304
ENSG00000002834.19	1.740347e-02	7.380857e-02	2.862556	4.675228e-01	7.345923e-01	0.183695	2.142227e-02	8.215010e-02	3.046251	1.000000e+00	1.000000e+00	0.057123	1.000000e+00	1.000000e+00	0.832190	1.000000e+00	1.000000e+00	0.047537	0	0	2	0.000000	0.000000	0.000000
ENSG00000002919.15	3.446665e-01	4.237968e-01	0.846180	3.208534e-01	6.842968e-01	0.249047	3.484878e-01	4.295820e-01	1.095227	7.363644e-01	1.000000e+00	0.225129	1.000000e+00	1.000000e+00	0.779543	7.984085e-01	1.000000e+00	0.225129	1	0	0	0.408332	0.000000	0.368261
ENSG00000002933.9	1.071619e-01	2.065896e-01	1.671878	2.221663e-01	6.360693e-01	0.304817	1.029938e-01	2.040331e-01	1.976694	8.525901e-01	1.000000e+00	0.094987	1.000000e+00	1.000000e+00	0.737259	8.840564e-01	1.000000e+00	0.094987	2	0	3	0.340319	0.000000	0.322883
ENSG00000003056.8	9.879518e-03	5.441891e-02	3.202795	1.555815e-01	5.923518e-01	0.366228	9.908904e-03	5.275344e-02	3.569023	1.000000e+00	1.000000e+00	0.040648	1.000000e+00	1.000000e+00	0.693344	1.000000e+00	1.000000e+00	0.028183	0	0	2	0.000000	0.000000	0.000000
ENSG00000003096.15	1.024978e-02	5.550605e-02	3.192574	2.853306e-01	6.687190e-01	0.275507	1.146753e-02	5.750663e-02	3.468081	1.000000e+00	1.000000e+00	0.041066	1.000000e+00	1.000000e+00	0.759187	1.000000e+00	1.000000e+00	0.031177	0	0	2	0.000000	0.000000	0.000000
ENSG00000003137.9	1.071619e-01	2.065896e-01	1.665317	7.288369e-01	8.083671e-01	0.119243	1.307928e-01	2.347511e-01	1.784560	8.525901e-01	1.000000e+00	0.095751	1.000000e+00	1.000000e+00	0.887592	8.840564e-01	1.000000e+00	0.095751	2	0	3	0.341533	0.000000	0.334611
ENSG00000003147.19	1.071619e-01	2.065896e-01	1.663918	1.102862e-01	5.519176e-01	0.437902	8.578548e-02	1.825691e-01	2.101820	8.525901e-01	1.000000e+00	0.095915	1.000000e+00	1.000000e+00	0.645389	8.840564e-01	1.000000e+00	0.095915	2	0	3	0.341793	0.000000	0.316681
ENSG00000003249.15	7.458772e-01	7.672511e-01	0.246045	8.802116e-01	8.843696e-01	0.041874	8.753100e-01	8.846163e-01	0.287918	3.441552e-01	1.000000e+00	0.921601	1.000000e+00	1.000000e+00	0.958991	4.898113e-01	1.000000e+00	0.921601	2	0	0	1.300403	0.000000	1.265550
ENSG00000003393.16	2.050767e-01	2.943383e-01	1.304251	1.102862e-01	5.519176e-01	0.439903	1.394052e-01	2.429063e-01	1.744153	7.650109e-01	1.000000e+00	0.180242	1.000000e+00	1.000000e+00	0.644099	8.195686e-01	1.000000e+00	0.180242	3	0	3	0.476469	0.000000	0.443619
ENSG00000003400.16	3.893941e-01	4.605547e-01	0.774410	3.208534e-01	6.842968e-01	0.259375	3.728663e-01	4.511998e-01	1.033785	5.949938e-01	1.000000e+00	0.381352	1.000000e+00	1.000000e+00	0.771534	6.886535e-01	1.000000e+00	0.381352	3	0	2	0.674874	0.000000	0.636169
ENSG00000003402.21	1.984719e-01	2.890277e-01	1.324212	2.221663e-01	6.360693e-01	0.304141	1.706048e-01	2.706106e-01	1.628353	8.369321e-01	1.000000e+00	0.108631	1.000000e+00	1.000000e+00	0.737757	8.729556e-01	1.000000e+00	0.108631	1	0	1	0.281260	0.000000	0.257804
ENSG00000003436.16	1.177338e-01	2.177908e-01	1.611466	5.292624e-01	7.526452e-01	0.172320	1.307928e-01	2.347511e-01	1.783787	1.000000e+00	1.000000e+00	0.199595	1.000000e+00	1.000000e+00	0.841710	1.000000e+00	1.000000e+00	0.168001	0	0	0	0.000000	0.000000	0.000000
ENSG00000003509.16	2.050767e-01	2.943383e-01	1.305050	3.208534e-01	6.842968e-01	0.244720	1.957155e-01	2.922679e-01	1.549770	8.369321e-01	1.000000e+00	0.111386	1.000000e+00	1.000000e+00	0.782924	8.729556e-01	1.000000e+00	0.111386	1	0	1	0.285514	0.000000	0.265983
ENSG00000003756.17	6.664708e-04	1.150101e-02	5.098049	1.368910e-02	3.226039e-01	0.880095	3.878930e-04	7.614679e-03	5.978144	1.000000e+00	1.000000e+00	0.001153	1.000000e+00	1.000000e+00	0.414743	1.000000e+00	1.000000e+00	0.001153	1	0	6	0.083730	0.000000	0.077579
ENSG00000003987.14	1.920694e-01	2.833169e-01	1.340234	2.497373e-01	6.509314e-01	0.291054	1.706048e-01	2.706106e-01	1.631288	7.970026e-01	1.000000e+00	0.148680	1.000000e+00	1.000000e+00	0.747475	8.430855e-01	1.000000e+00	0.148680	2	0	2	0.393679	0.000000	0.371380
ENSG00000003989.18	2.473347e-02	9.083531e-02	2.625079	7.239730e-02	5.005445e-01	0.503444	1.911372e-02	7.682967e-02	3.128523	8.827223e-01	1.000000e+00	0.042167	1.000000e+00	1.000000e+00	0.604446	9.048440e-01	1.000000e+00	0.042167	5	0	8	0.378785	0.000000	0.364421
ENSG00000004059.11	1.593559e-01	2.557721e-01	1.440875	7.877661e-01	8.289839e-01	0.089995	2.026283e-01	2.982457e-01	1.530870	1.000000e+00	1.000000e+00	0.236720	1.000000e+00	1.000000e+00	0.913936	1.000000e+00	1.000000e+00	0.216347	0	0	0	0.000000	0.000000	0.000000
ENSG00000004139.14	1.369874e-01	2.357241e-01	1.520245	7.877661e-01	8.289839e-01	0.083139	1.771825e-01	2.762287e-01	1.603384	1.000000e+00	1.000000e+00	0.218658	1.000000e+00	1.000000e+00	0.920223	1.000000e+00	1.000000e+00	0.201214	0	0	0	0.000000	0.000000	0.000000
ENSG00000004142.12	8.990890e-03	5.133557e-02	3.271575	1.555815e-01	5.923518e-01	0.375174	8.932119e-03	4.976424e-02	3.646749	1.000000e+00	1.000000e+00	0.037947	1.000000e+00	1.000000e+00	0.687170	1.000000e+00	1.000000e+00	0.026076	0	0	2	0.000000	0.000000	0.000000
ENSG00000004399.13	1.984719e-01	2.890277e-01	1.334188	1.751760e-01	6.069273e-01	0.340017	1.594628e-01	2.610912e-01	1.674205	7.518202e-01	1.000000e+00	0.207164	1.000000e+00	1.000000e+00	0.711758	8.100194e-01	1.000000e+00	0.207164	6	0	6	0.593034	0.000000	0.573218
ENSG00000004455.18	1.474793e-01	2.456063e-01	1.493547	7.877661e-01	8.289839e-01	0.085097	1.895821e-01	2.868599e-01	1.578644	1.000000e+00	1.000000e+00	0.224575	1.000000e+00	1.000000e+00	0.918424	1.000000e+00	1.000000e+00	0.206255	0	0	0	0.000000	0.000000	0.000000
ENSG00000004468.13	4.358860e-02	1.238577e-01	2.261780	5.292624e-01	7.526452e-01	0.178401	5.100088e-02	1.357391e-01	2.440181	1.000000e+00	1.000000e+00	0.104165	1.000000e+00	1.000000e+00	0.836607	1.000000e+00	1.000000e+00	0.087145	0	0	1	0.000000	0.000000	0.000000
ENSG00000004478.8	1.920694e-01	2.833169e-01	1.350152	4.140406e-01	7.185008e-01	0.214863	1.895821e-01	2.868599e-01	1.565015	8.369321e-01	1.000000e+00	0.105025	1.000000e+00	1.000000e+00	0.806652	8.729556e-01	1.000000e+00	0.105025	1	0	1	0.275666	0.000000	0.259603
ENSG00000004487.18	8.474875e-04	1.310909e-02	4.911398	4.349809e-02	4.408100e-01	0.601483	6.723479e-04	1.036232e-02	5.512881	1.000000e+00	1.000000e+00	0.007362	1.000000e+00	1.000000e+00	0.547998	1.000000e+00	1.000000e+00	0.004034	0	0	4	0.000000	0.000000	0.000000
ENSG00000004534.15	5.391396e-01	5.870263e-01	0.501273	4.140406e-01	7.185008e-01	0.216808	5.568557e-01	6.058508e-01	0.718081	5.180911e-01	1.000000e+00	0.545787	1.000000e+00	1.000000e+00	0.805084	6.314605e-01	1.000000e+00	0.545787	2	0	0	0.798303	0.000000	0.731184
ENSG00000004660.15	7.548634e-03	4.667151e-02	3.380732	5.292624e-01	7.526452e-01	0.176859	1.018396e-02	5.369693e-02	3.557591	1.000000e+00	1.000000e+00	0.034023	1.000000e+00	1.000000e+00	0.837898	1.000000e+00	1.000000e+00	0.028507	0	0	3	0.000000	0.000000	0.000000
ENSG00000004700.16	2.147517e-02	8.344371e-02	2.736133	1.555815e-01	5.923518e-01	0.374186	1.967676e-02	7.807836e-02	3.110320	1.000000e+00	1.000000e+00	0.017885	1.000000e+00	1.000000e+00	0.687849	1.000000e+00	1.000000e+00	0.017885	1	0	3	0.146534	0.000000	0.138551
ENSG00000004766.17	1.740347e-02	7.380857e-02	2.871709	7.239730e-02	5.005445e-01	0.503611	1.335175e-02	6.236069e-02	3.375320	1.000000e+00	1.000000e+00	0.015316	1.000000e+00	1.000000e+00	0.604344	1.000000e+00	1.000000e+00	0.015316	1	0	3	0.138392	0.000000	0.128797
ENSG00000004777.19	3.890685e-04	8.264669e-03	5.471390	6.539759e-02	4.886869e-01	0.537554	3.667352e-04	7.384615e-03	6.008944	1.000000e+00	1.000000e+00	0.000742	1.000000e+00	1.000000e+00	0.584175	1.000000e+00	1.000000e+00	0.000742	1	0	7	0.081077	0.000000	0.077560
ENSG00000004779.10	1.422545e-01	2.406742e-01	1.515245	4.675228e-01	7.345923e-01	0.184303	1.540887e-01	2.560871e-01	1.699548	1.000000e+00	1.000000e+00	0.219754	1.000000e+00	1.000000e+00	0.831684	1.000000e+00	1.000000e+00	0.182766	0	0	0	0.000000	0.000000	0.000000
ENSG00000004799.8	6.167382e-02	1.502549e-01	2.076272	2.221663e-01	6.360693e-01	0.316668	5.642903e-02	1.434329e-01	2.392941	8.827223e-01	1.000000e+00	0.040499	1.000000e+00	1.000000e+00	0.728572	9.048440e-01	1.000000e+00	0.040499	1	0	2	0.186624	0.000000	0.175697
ENSG00000004809.14	4.667646e-03	3.494061e-02	3.723754	4.751925e-02	4.506912e-01	0.592860	3.572142e-03	2.830927e-02	4.316615	1.000000e+00	1.000000e+00	0.008313	1.000000e+00	1.000000e+00	0.552744	1.000000e+00	1.000000e+00	0.008313	2	0	6	0.181016	0.000000	0.171357
ENSG00000004838.14	3.887981e-02	1.163659e-01	2.337566	3.208534e-01	6.842968e-01	0.251109	4.053012e-02	1.192289e-01	2.588674	1.000000e+00	1.000000e+00	0.096562	1.000000e+00	1.000000e+00	0.777938	1.000000e+00	1.000000e+00	0.075120	0	0	1	0.000000	0.000000	0.000000
ENSG00000004846.17	1.474793e-01	2.456063e-01	1.483213	6.316779e-03	2.523005e-01	1.088099	4.188540e-02	1.213485e-01	2.571312	7.650109e-01	1.000000e+00	0.192392	1.000000e+00	1.000000e+00	0.336856	8.195686e-01	1.000000e+00	0.192392	10	0	8	0.624827	0.000000	0.582311
ENSG00000004848.8	8.922128e-02	1.861557e-01	1.819993	5.292624e-01	7.526452e-01	0.163212	1.004443e-01	2.011369e-01	1.983205	1.000000e+00	1.000000e+00	0.162027	1.000000e+00	1.000000e+00	0.849411	1.000000e+00	1.000000e+00	0.137627	0	0	1	0.000000	0.000000	0.000000
ENSG00000004864.14	1.366912e-02	6.478552e-02	3.034297	1.967711e-01	6.213920e-01	0.329585	1.335175e-02	6.236069e-02	3.363883	1.000000e+00	1.000000e+00	0.048108	1.000000e+00	1.000000e+00	0.719222	1.000000e+00	1.000000e+00	0.034601	0	0	2	0.000000	0.000000	0.000000
ENSG00000004866.22	3.134881e-03	2.773791e-02	4.018890	8.044784e-02	5.134359e-01	0.488925	2.692918e-03	2.416667e-02	4.507815	1.000000e+00	1.000000e+00	0.017973	1.000000e+00	1.000000e+00	0.613285	1.000000e+00	1.000000e+00	0.011023	0	0	3	0.000000	0.000000	0.000000
ENSG00000004897.12	1.422545e-01	2.406742e-01	1.515653	6.621252e-01	7.887188e-01	0.137873	1.645619e-01	2.654551e-01	1.653526	1.000000e+00	1.000000e+00	0.219665	1.000000e+00	1.000000e+00	0.871209	1.000000e+00	1.000000e+00	0.191374	0	0	0	0.000000	0.000000	0.000000
ENSG00000004939.16	3.032830e-01	3.864859e-01	0.948909	2.853306e-01	6.687190e-01	0.273096	2.996709e-01	3.846775e-01	1.222005	6.364972e-01	1.000000e+00	0.335236	1.000000e+00	1.000000e+00	0.761020	7.203632e-01	1.000000e+00	0.335236	5	0	4	0.678991	0.000000	0.653989
ENSG00000004948.16	2.114734e-01	2.999266e-01	1.288388	2.497373e-01	6.509314e-01	0.299985	1.836415e-01	2.819836e-01	1.588373	7.970026e-01	1.000000e+00	0.158929	1.000000e+00	1.000000e+00	0.740830	8.430855e-01	1.000000e+00	0.158929	2	0	2	0.407626	0.000000	0.383046
ENSG00000004961.15	4.711372e-02	1.294220e-01	2.220435	3.634805e-01	7.017610e-01	0.222503	5.100088e-02	1.357391e-01	2.442938	1.000000e+00	1.000000e+00	0.108562	1.000000e+00	1.000000e+00	0.800513	1.000000e+00	1.000000e+00	0.086905	0	0	1	0.000000	0.000000	0.000000
ENSG00000004975.12	3.737878e-04	8.091603e-03	5.519765	1.555815e-01	5.923518e-01	0.367140	4.255069e-04	8.017719e-03	5.886905	1.000000e+00	1.000000e+00	0.004007	1.000000e+00	1.000000e+00	0.692712	1.000000e+00	1.000000e+00	0.002776	0	0	5	0.000000	0.000000	0.000000
ENSG00000005001.10	3.780476e-01	4.515289e-01	0.795272	5.292624e-01	7.526452e-01	0.168359	4.011848e-01	4.759891e-01	0.963631	6.068081e-01	1.000000e+00	0.369740	1.000000e+00	1.000000e+00	0.845050	6.974587e-01	1.000000e+00	0.369740	3	0	2	0.662455	0.000000	0.638079
ENSG00000005007.14	2.408463e-02	8.939791e-02	2.650334	5.929039e-01	7.695675e-01	0.141964	3.059771e-02	1.018826e-01	2.792298	1.000000e+00	1.000000e+00	0.070628	1.000000e+00	1.000000e+00	0.867653	1.000000e+00	1.000000e+00	0.061280	0	0	2	0.000000	0.000000	0.000000
ENSG00000005020.13	3.174775e-01	3.995178e-01	0.913635	5.292624e-01	7.526452e-01	0.179166	3.484878e-01	4.295820e-01	1.092801	7.518202e-01	1.000000e+00	0.204276	1.000000e+00	1.000000e+00	0.835967	8.100194e-01	1.000000e+00	0.204276	1	0	0	0.378520	0.000000	0.353358
ENSG00000005059.16	1.855104e-01	2.780042e-01	1.377894	1.102862e-01	5.519176e-01	0.438474	1.271960e-01	2.312716e-01	1.816367	7.791866e-01	1.000000e+00	0.164229	1.000000e+00	1.000000e+00	0.645020	8.298736e-01	1.000000e+00	0.164229	3	0	3	0.456237	0.000000	0.426126
ENSG00000005073.6	1.104696e-01	2.102741e-01	1.645548	6.621252e-01	7.887188e-01	0.129086	1.349738e-01	2.388042e-01	1.774635	1.000000e+00	1.000000e+00	0.192907	1.000000e+00	1.000000e+00	0.878898	1.000000e+00	1.000000e+00	0.169545	0	0	0	0.000000	0.000000	0.000000
ENSG00000005100.13	3.279224e-02	1.063997e-01	2.432126	1.372883e-01	5.764956e-01	0.397520	2.895680e-02	9.877706e-02	2.829645	8.941522e-01	1.000000e+00	0.037515	1.000000e+00	1.000000e+00	0.671985	9.121845e-01	1.000000e+00	0.037515	2	0	4	0.251813	0.000000	0.239295
ENSG00000005102.14	6.442739e-01	6.776904e-01	0.373414	6.621252e-01	7.887188e-01	0.122189	7.142592e-01	7.434010e-01	0.495604	4.382651e-01	1.000000e+00	0.693819	1.000000e+00	1.000000e+00	0.884981	5.678401e-01	1.000000e+00	0.693819	2	0	0	0.987645	0.000000	0.929649
ENSG00000005108.17	2.758742e-02	9.656449e-02	2.551742	1.636791e-02	3.396341e-01	0.856802	1.251484e-02	6.023762e-02	3.408544	8.941522e-01	1.000000e+00	0.039085	1.000000e+00	1.000000e+00	0.424518	9.121845e-01	1.000000e+00	0.039085	3	0	5	0.296158	0.000000	0.271259
ENSG00000005156.12	3.032830e-01	3.864859e-01	0.951927	2.497373e-01	6.509314e-01	0.293831	2.934799e-01	3.790754e-01	1.245757	6.756004e-01	1.000000e+00	0.295576	1.000000e+00	1.000000e+00	0.745403	7.507705e-01	1.000000e+00	0.295576	3	0	2	0.581729	0.000000	0.548935
ENSG00000005175.10	5.522410e-01	5.983812e-01	0.496748	3.208534e-01	6.842968e-01	0.254787	5.307623e-01	5.837321e-01	0.751535	4.823156e-01	1.000000e+00	0.613192	1.000000e+00	1.000000e+00	0.775082	6.035463e-01	1.000000e+00	0.613192	3	0	1	0.885693	0.000000	0.820684
ENSG00000005187.12	3.552301e-01	4.326586e-01	0.839092	2.853306e-01	6.687190e-01	0.276594	3.410167e-01	4.230388e-01	1.115686	6.547705e-01	1.000000e+00	0.304595	1.000000e+00	1.000000e+00	0.758363	7.345166e-01	1.000000e+00	0.304595	2	0	1	0.556867	0.000000	0.514923
ENSG00000005189.20	5.289450e-05	2.117647e-03	6.854685	5.831678e-02	4.761324e-01	0.543817	5.054364e-05	1.751527e-03	7.398502	1.000000e+00	1.000000e+00	0.001055	1.000000e+00	1.000000e+00	0.580528	1.000000e+00	1.000000e+00	0.000612	0	0	6	0.000000	0.000000	0.000000
ENSG00000005194.15	3.381487e-02	1.081910e-01	2.400956	3.208534e-01	6.842968e-01	0.245751	3.712254e-02	1.137270e-01	2.646707	8.941522e-01	1.000000e+00	0.026376	1.000000e+00	1.000000e+00	0.782117	9.121845e-01	1.000000e+00	0.026376	1	0	3	0.170174	0.000000	0.163126
ENSG00000005206.17	2.708692e-01	3.548810e-01	1.068134	8.384684e-01	8.533640e-01	0.067697	3.335010e-01	4.162341e-01	1.135831	7.970026e-01	1.000000e+00	0.153241	1.000000e+00	1.000000e+00	0.934543	8.430855e-01	1.000000e+00	0.153241	1	0	1	0.348606	0.000000	0.340460
ENSG00000005243.10	1.920694e-01	2.833169e-01	1.356141	7.877661e-01	8.289839e-01	0.090563	2.298983e-01	3.220848e-01	1.446704	1.000000e+00	1.000000e+00	0.257653	1.000000e+00	1.000000e+00	0.913417	1.000000e+00	1.000000e+00	0.235345	0	0	0	0.000000	0.000000	0.000000
